Долгосрочный S&P
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Мая 2021 г. (обновление по состоянию на 28 Мая 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Апреля 2021 г. (обновление по состоянию на 26 Апреля 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Марта 2021 г. (обновление по состоянию на 25 Марта 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Февраля 2021 г. (обновление по состоянию на 25 Февраля 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Января 2021 г. (обновление по состоянию на 31 Января 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Декабря 2020 г. (обновление по состоянию на 24 Декабря 2020 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Ноября 2020 г. (обновление по состоянию на 25 Ноября 2020 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Октября 2020 г. (обновление по состоянию на 25 Октября 2020 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Сентября 2020 г. (обновление по состоянию на 24 Сентября 2020 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Августа 2020 г. (обновление по состоянию на 26 Августа 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июля 2020 г. (обновление по состоянию на 24 Июля 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июня 2020 г. (обновление по состоянию на 25 Июня 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Мая 2020 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Апреля 2020 г. (обновление по состоянию на 23 Апреля 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Марта 2020 г. (обновление по состоянию на 25 Марта 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Февраля 2020 г. (обновление по состоянию на 27 Февраля 2020 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Января 2020 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Декабря 2019 г. (обновление по состоянию на 24 Декабря 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Ноября 2019 г. (обновление по состоянию на 27 Ноября 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Октября 2019 г. (обновление по состоянию на 23 Октября 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Сентября 2019 г. (обновление по состоянию на 25 Сентября 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) СОВКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Августа 2019 г. (обновление по состоянию на 26 Августа 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июля 2019 г. (обновление по состоянию на 23 Июля 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B+) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июня 2019 г. (обновление по состоянию на 27 Июня 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Мая 2019 г. (обновление по состоянию на 30 Мая 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Апреля 2019 г. (обновление по состоянию на 25 Апреля 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) УРАЛСИБ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Марта 2019 г. (обновление по состоянию на 26 Марта 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
(B-) УРАЛСИБ
Сортировка по позиции в рейтинге на дату: 01 Февраля 2019 г. (обновление по состоянию на 27 Февраля 2019 г.)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
(B-) УРАЛСИБ
Сортировка по позиции в рейтинге на дату: 01 Января 2019 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB+) ЗАПСИБКОМБАНК
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
(B-) УРАЛСИБ
Сортировка по позиции в рейтинге на дату: 01 Декабря 2018 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB-) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB-) ПРОМСВЯЗЬБАНК
(BB-) СОВКОМБАНК
(B+) ВОЗРОЖДЕНИЕ
(B+) ЗАПСИБКОМБАНК
(B) ИНГОССТРАХ БАНК
(B) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(B) НФК
(B) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
(B-) УРАЛСИБ
Сортировка по позиции в рейтинге на дату: 01 Ноября 2018 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
